iter	Passed	Remaining
0	0	72
1	1	68
2	2	71
3	2	66
4	3	63
5	3	60
6	4	59
7	5	58
8	5	58
9	6	57
10	6	55
11	7	54
12	8	53
13	8	53
14	9	52
15	9	50
16	10	49
17	10	49
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	45
24	14	44
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	20	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	28	30
49	29	29
50	29	28
51	30	28
52	30	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	35	22
61	35	21
62	36	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
