iter	Passed	Remaining
0	135	135369
1	136	68006
2	136	45491
3	138	34423
4	138	27639
5	139	23124
6	140	19874
7	140	17456
8	141	15570
9	142	14120
10	144	12972
11	146	12068
12	147	11224
13	148	10481
14	149	9845
15	151	9290
16	152	8799
17	153	8353
18	154	7965
19	155	7605
20	156	7280
21	157	6979
22	158	6722
23	159	6485
24	160	6256
25	161	6038
26	161	5829
27	162	5636
28	163	5462
29	163	5298
30	164	5144
31	165	5002
32	166	4867
33	166	4737
34	167	4614
35	167	4498
36	168	4386
37	169	4280
38	169	4180
39	170	4084
40	170	3997
41	171	3914
42	172	3839
43	173	3767
44	173	3691
45	174	3620
46	175	3551
47	175	3484
48	176	3420
49	176	3359
50	177	3300
51	177	3243
52	178	3188
53	179	3136
54	179	3085
55	180	3036
56	180	2988
57	181	2942
58	181	2897
59	182	2854
60	182	2813
61	183	2775
62	183	2736
63	184	2700
64	185	2663
65	185	2628
66	186	2596
67	187	2563
68	187	2532
69	188	2501
70	188	2471
71	189	2442
72	190	2414
73	190	2386
74	191	2358
75	191	2332
76	192	2306
77	192	2281
78	193	2257
79	194	2233
80	194	2211
81	195	2189
82	195	2164
83	196	2143
84	197	2123
85	197	2101
86	198	2081
87	198	2060
88	199	2040
89	199	2021
90	200	2004
91	201	1987
92	201	1968
93	202	1950
94	202	1932
95	203	1915
96	203	1898
97	204	1881
98	204	1864
99	205	1849
100	206	1833
101	206	1818
102	207	1803
103	207	1788
104	208	1773
105	208	1758
106	209	1745
107	209	1731
108	210	1718
109	210	1705
110	211	1694
111	212	1682
112	212	1670
113	213	1658
114	213	1646
115	214	1634
116	215	1623
117	215	1612
118	216	1601
119	216	1590
120	217	1579
121	217	1567
122	218	1557
123	218	1546
124	219	1536
125	219	1526
126	220	1515
127	220	1504
128	221	1494
129	221	1485
130	222	1475
131	222	1465
132	223	1456
133	223	1447
134	224	1438
135	225	1430
136	225	1421
137	226	1412
138	226	1403
139	227	1395
140	227	1386
141	228	1377
142	228	1369
143	229	1361
144	229	1355
145	230	1348
146	231	1341
147	231	1333
148	232	1326
149	232	1319
150	233	1312
151	233	1304
152	234	1297
153	234	1290
154	235	1283
155	236	1277
156	236	1270
157	237	1263
158	237	1256
159	238	1250
160	238	1243
161	239	1237
162	239	1230
163	240	1224
164	240	1218
165	241	1212
166	241	1206
167	242	1199
168	242	1193
169	243	1188
170	244	1183
171	244	1178
172	245	1173
173	246	1167
174	246	1162
175	247	1156
176	247	1151
177	248	1145
178	248	1140
179	249	1136
180	249	1131
181	250	1125
182	251	1120
183	251	1116
184	252	1111
185	252	1106
186	253	1101
187	253	1096
188	254	1091
189	255	1087
190	255	1082
191	256	1078
192	256	1073
193	257	1069
194	257	1064
195	258	1061
196	259	1057
197	260	1053
198	260	1048
199	261	1044
200	261	1039
201	262	1035
202	262	1031
203	263	1026
204	263	1022
205	264	1018
206	265	1015
207	266	1013
208	266	1009
209	267	1005
210	267	1001
211	268	997
212	268	993
213	269	989
214	269	985
215	270	981
216	271	978
217	271	975
218	272	972
219	273	969
220	274	966
221	274	963
222	275	959
223	276	956
224	276	953
225	277	950
226	278	947
227	278	944
228	279	941
229	280	938
230	281	935
231	281	932
232	282	928
233	282	925
234	283	922
235	284	920
236	284	916
237	285	913
238	285	909
239	286	906
240	287	903
241	288	902
242	288	899
243	289	896
244	290	893
245	290	891
246	291	888
247	292	886
248	292	883
249	293	880
250	294	877
251	294	874
252	295	871
253	296	870
254	296	867
255	297	864
256	298	861
257	298	859
258	299	856
259	300	854
260	300	852
261	302	853
262	303	851
263	304	848
264	305	846
265	305	843
266	306	841
267	307	838
268	308	838
269	309	837
270	310	834
271	311	832
272	311	830
273	312	827
274	312	824
275	313	822
276	314	819
277	314	817
278	315	814
279	315	812
280	316	811
281	317	809
282	318	806
283	319	804
284	320	803
285	321	801
286	321	799
287	322	797
288	323	795
289	323	793
290	324	790
291	325	788
292	325	786
293	326	783
294	326	781
295	327	779
296	328	776
297	328	774
298	329	771
299	329	769
300	330	768
301	331	765
302	331	763
303	332	761
304	333	759
305	333	757
306	334	754
307	335	752
308	335	751
309	336	749
310	337	747
311	337	744
312	338	743
313	339	740
314	339	738
315	340	736
316	340	734
317	341	732
318	342	730
319	342	728
320	343	726
321	343	724
322	344	722
323	345	721
324	346	719
325	347	718
326	348	716
327	348	714
328	349	712
329	349	710
330	350	708
331	351	706
332	351	704
333	352	703
334	353	701
335	354	699
336	354	697
337	355	695
338	355	694
339	356	692
340	357	690
341	357	688
342	358	686
343	359	685
344	360	684
345	361	683
346	362	681
347	362	679
348	363	677
349	363	675
350	364	674
351	365	672
352	366	670
353	366	668
354	367	667
355	367	665
356	368	663
357	369	662
358	369	660
359	370	658
360	371	656
361	371	655
362	372	653
363	373	652
364	374	651
365	375	649
366	375	647
367	376	645
368	376	644
369	377	642
370	377	640
371	378	639
372	379	637
373	380	636
374	380	634
375	381	632
376	381	630
377	382	629
378	382	627
379	383	625
380	383	623
381	384	621
382	384	620
383	385	618
384	385	616
385	386	614
386	387	613
387	388	612
388	389	611
389	389	609
390	390	607
391	390	606
392	391	604
393	391	602
394	392	601
395	393	600
396	394	598
397	394	597
398	395	595
399	395	593
400	396	592
401	396	590
402	397	588
403	397	587
404	398	585
405	399	583
406	399	582
407	399	580
408	400	578
409	401	577
410	402	576
411	403	575
412	403	573
413	404	572
414	404	570
415	405	568
416	405	567
417	406	565
418	407	564
419	407	562
420	408	561
421	408	559
422	409	558
423	409	556
424	410	555
425	410	553
426	411	551
427	411	550
428	412	548
429	412	547
430	413	545
431	413	544
432	414	543
433	415	541
434	416	540
435	416	539
436	417	538
437	418	536
438	418	535
439	419	533
440	419	532
441	420	530
442	420	529
443	421	527
444	422	526
445	422	525
446	423	523
447	423	522
448	424	520
449	424	519
450	425	517
451	425	516
452	426	514
453	426	513
454	427	511
455	427	510
456	428	509
457	429	508
458	430	507
459	431	506
460	431	505
461	432	503
462	433	502
463	433	500
464	434	499
465	434	497
466	435	496
467	435	495
468	436	493
469	436	492
470	437	491
471	437	489
472	438	488
473	439	487
474	439	485
475	440	484
476	440	483
477	441	481
478	441	480
479	442	479
480	442	477
481	443	476
482	443	475
483	445	474
484	445	473
485	446	472
486	447	470
487	447	469
488	448	468
489	448	466
490	449	465
491	449	464
492	450	463
493	450	461
494	451	460
495	452	459
496	452	458
497	453	457
498	454	456
499	454	454
500	455	453
501	456	452
502	456	451
503	457	450
504	458	448
505	459	448
506	460	447
